Feature,Importance
Neighborhood_Veenker,2.7479560233208005e-05
Exterior2nd_VinylSd,2.6058584984026152e-05
BsmtFinType1_LwQ,2.5609933320735443e-05
RoofStyle_Shed,2.559569704714758e-05
Foundation_CBlock,2.5389614513731544e-05
RoofStyle_Gable,2.3433376082454557e-05
Exterior2nd_Plywood,2.3332642988404287e-05
FireplaceQu_Fa,2.3131649795757087e-05
HasPorch,2.2629153649331678e-05
Foundation_Slab,2.152131065592328e-05
RoofMatl_Tar&Grv,2.103710610729513e-05
Exterior2nd_HdBoard,1.9934307429926815e-05
MSZoning_RH,1.980369011520497e-05
Fence_MnPrv,1.947283826328745e-05
LandSlope_Mod,1.7932869402157285e-05
PoolQC_Gd,1.7878291414540652e-05
HalfBath,1.7433273641225755e-05
Fence_GdWo,1.6607016593657887e-05
Exterior1st_Stucco,1.567531568857747e-05
PavedDrive_Y,1.4346825028769707e-05
ExterCond_Fa,1.4006638752035125e-05
BsmtFinType2_ALQ,1.2842300327731558e-05
Neighborhood_CollgCr,1.0297459533195763e-05
Exterior2nd_CmentBd,9.956142405390107e-06
Exterior1st_Plywood,9.821918975021107e-06
Functional_Min1,9.521464709668827e-06
SaleType_ConLI,7.964028453629945e-06
LandSlope_Gtl,7.8261695120425e-06
Fence_GdPrv,7.027390328935541e-06
RoofMatl_WdShngl,6.394728233464093e-06
GarageType_2Types,6.158878554727694e-06
Exterior2nd_Brk Cmn,5.711986610139244e-06
BsmtExposure_Mn,5.144034157170607e-06
BsmtFinType2_LwQ,4.4354107481038e-06
BsmtFinType1_Unf,4.154786911507829e-06
BldgType_Duplex,3.6949566154952615e-06
SaleType_WD,3.222515798201957e-06
Condition2_Feedr,3.1305035636111506e-06
BldgType_TwnhsE,1.8872171855574219e-06
GarageFinish_RFn,1.7808958575096054e-06
BsmtQual_TA,1.5447213572624704e-06
BldgType_1Fam,1.0479487767156646e-06
HeatingQC_TA,9.783560235842736e-07
RoofStyle_Hip,9.331004683182923e-07
